SCHOOL NO.,ENGLISH CATEGORY,中文類別,ENGLISH NAME,中文名稱,ENGLISH ADDRESS,中文地址,LONGITUDE,經度,LATITUDE,緯度,EASTING,坐標東,NORTHING,坐標北,STUDENTS GENDER,就讀學生性別,SESSION,學校授課時間,DISTRICT,分區,FINANCE TYPE,資助種類,SCHOOL LEVEL,學校類型,TELEPHONE,聯絡電話,FAX NUMBER,傳真號碼,WEBSITE,網頁,RELIGION,宗教
114502000123,Aided Primary Schools,資助小學,SIR ROBERT BLACK COLLEGE OF EDUCATION PAST STUDENTS' ASSOCIATION LU KWONG FAI MEMORIAL SCHOOL,柏立基教育學院校友會盧光輝紀念學校,221 KWAI SHING CIRCUIT KWAI CHUNG NEW TERRITORIES,新界葵涌葵盛圍221號,114.12295048,114.12295048,22.36346934,22.36346934,830714.0,830714.0,824925.0,824925.0,CO-ED,男女,WHOLE DAY,全日,KWAI TSING,葵青區,AIDED,資助,PRIMARY,小學,24290452,24290452,24801757,24801757,http://www.lynms.edu.hk,http://www.lynms.edu.hk,NOT APPLICABLE,不適用
112666000123,Aided Primary Schools,資助小學,TUNG TAK SCHOOL,通德學校,"SHING MUN SAN TSUEN, KAM TIN, YUEN LONG, NEW TERRITORIES",新界元朗錦田城門新村,114.06602323,114.06602323,22.44114746,22.44114746,824857.0,824857.0,833530.0,833530.0,CO-ED,男女,WHOLE DAY,全日,YUEN LONG,元朗區,AIDED,資助,PRIMARY,小學,24761101,24761101,24747045,24747045,http://www.ttsch.edu.hk,http://www.ttsch.edu.hk,NOT APPLICABLE,不適用
112550000323,Aided Primary Schools,資助小學,THE YUEN YUEN INSTITUTE CHAN KWOK CHIU HING TAK PRIMARY SCHOOL,圓玄學院陳國超興德小學,HING PING ROAD TUEN MUN NEW TERRITORIES,新界屯門慶平路,113.9816375,113.9816375,22.41108673,22.41108673,816166.0,816166.0,830210.0,830210.0,CO-ED,男女,WHOLE DAY,全日,TUEN MUN,屯門區,AIDED,資助,PRIMARY,小學,24482211,24482211,24483098,24483098,http://www.hingtak.edu.hk,http://www.hingtak.edu.hk,NOT APPLICABLE,不適用
610160000123,Aided Primary Schools,資助小學,TWGHS TSOI WING SING PRIMARY SCHOOL,東華三院蔡榮星小學,"ESTATE PRIMARY SCHOOL NO.1, MEI LAM ESTATE, SHATIN, NEW TERRITORIES",新界沙田美林邨屋邨小學第1校舍,114.17778712,114.17778712,22.37847773,22.37847773,836362.0,836362.0,826586.0,826586.0,CO-ED,男女,WHOLE DAY,全日,SHA TIN,沙田區,AIDED,資助,PRIMARY,小學,29593606,29593606,29593615,29593615,http://www.twghscops.edu.hk,http://www.twghscops.edu.hk,NOT APPLICABLE,不適用
542580000123,Aided Primary Schools,資助小學,THE EDUCATION UNIVERSITY OF HONG KONG JOCKEY CLUB PRIMARY SCHOOL,香港教育大學賽馬會小學,"10 LO PING ROAD, THE EDUCATION UNIVERSITY OF HONG KONG, TAI PO, NEW TERRITORIES",新界大埔露屏路10號香港教育大學,114.19449024,114.19449024,22.4696578,22.4696578,838081.0,838081.0,836683.0,836683.0,CO-ED,男女,WHOLE DAY,全日,TAI PO,大埔區,AIDED,資助,PRIMARY,小學,29481122,29481122,29481121,29481121,http://www.edujcps.edu.hk,http://www.edujcps.edu.hk,NOT APPLICABLE,不適用
513180000123,Aided Primary Schools,資助小學,PO KOK PRIMARY SCHOOL,寶覺小學,"G/F. - 5/F., 9 SHAN KWONG ROAD & 11 SHAN KWONG ROAD, HAPPY VALLEY, HONG KONG",香港跑馬地山光道9號地下至5樓及山光道11號,114.18516018,114.18516018,22.26742865,22.26742865,837122.0,837122.0,814289.0,814289.0,CO-ED,男女,WHOLE DAY,全日,WAN CHAI,灣仔區,AIDED,資助,PRIMARY,小學,25737911,25737911,25724364,25724364,http://www.pokokps.edu.hk,http://www.pokokps.edu.hk,BUDDHISM,佛教
512389000123,Aided Primary Schools,資助小學,THE CHURCH OF CHRIST IN CHINA KEI WA PRIMARY SCHOOL,中華基督教會基華小學,3 WONG KUK AVENUE CHOI HUNG ESTATE WONG TAI SIN KOWLOON,九龍黃大仙黃菊路3號彩虹邨,114.20661698,114.20661698,22.33604073,22.33604073,839332.0,839332.0,821887.0,821887.0,CO-ED,男女,WHOLE DAY,全日,WONG TAI SIN,黃大仙區,AIDED,資助,PRIMARY,小學,23200683,23200683,23259035,23259035,http://www.keiwa.edu.hk,http://www.keiwa.edu.hk,PROTESTANTISM / CHRISTIANITY,基督教
560642000123,Aided Primary Schools,資助小學,THE CHURCH OF CHRIST IN CHINA KEI WA PRIMARY SCHOOL (KOWLOON TONG),中華基督教會基華小學(九龍塘),1B OXFORD ROAD KOWLOON TONG KOWLOON,九龍九龍塘牛津道1號B,114.18043671,114.18043671,22.32965851,22.32965851,836635.0,836635.0,821180.0,821180.0,CO-ED,男女,WHOLE DAY,全日,KOWLOON CITY,九龍城區,AIDED,資助,PRIMARY,小學,22676676,22676676,23360665,23360665,http://www.kwpskt.edu.hk,http://www.kwpskt.edu.hk,PROTESTANTISM / CHRISTIANITY,基督教
600873000123,Aided Primary Schools,資助小學,THE MISSION COVENANT CHURCH HOLM GLAD NO.2 PRIMARY SCHOOL,基督教聖約教會堅樂第二小學,ESTATE PRIMARY SCHOOL NO.1 SHUN ON ESTATE KWUN TONG KOWLOON,九龍觀塘順安邨屋邨小學第一校舍,114.22545557,114.22545557,22.32760161,22.32760161,841273.0,841273.0,820953.0,820953.0,CO-ED,男女,WHOLE DAY,全日,KWUN TONG,觀塘區,AIDED,資助,PRIMARY,小學,28733122,28733122,28733168,28733168,https://hg2ps.edu.hk,https://hg2ps.edu.hk,PROTESTANTISM / CHRISTIANITY,基督教
610224000123,Aided Primary Schools,資助小學,NEW TERRITORIES WOMEN & JUVENILES WELFARE ASSOCIATION CHRISTIAN REMEMBRANCE OF GRACE PRIMARY SCHOOL,新界婦孺福利會基督教銘恩小學,"ESTATE PRIMARY SCHOOL NO. 1, TAI YUEN ESTATE, TAI PO, NEW TERRITORIES",新界大埔大元邨屋邨第一小學,114.17140462,114.17140462,22.45533611,22.45533611,835705.0,835705.0,835097.0,835097.0,CO-ED,男女,WHOLE DAY,全日,TAI PO,大埔區,AIDED,資助,PRIMARY,小學,26686112,26686112,26686512,26686512,http://taipocrgps.edu.hk,http://taipocrgps.edu.hk,PROTESTANTISM / CHRISTIANITY,基督教
